"ParticipantID","Question.Name","Question.Type","Question.Order","Question.Number","q.solv.time","grade","pp.mean","pp.log.mean","HR.E4.mean","HR.E4.validated.mean","HR.AW.mean","pp_normalized","pp_log_normalized","hr.e4_normalized","hr.e4_validated_normalized","hr.aw_normalized","Gender","SAI.Score"
"S001","A10M117.2","A",10,"34",7,0,0.00459219053822612,-5.38340284062844,77.9514285714286,77.98,81,-0.00116142516342823,-0.222823020944821,-14.9735714285714,-15.0455737704918,-17.6223419203747,"F",45
"S001","A11M116.2","A",11,"35",5,0,0.00362368961360509,-5.62026615441444,77.486,77.67,83,-0.00212992608804926,-0.45968633473082,-15.439,-15.3555737704918,-18.0877704918033,"F",45
"S001","A1M101.3","A",1,"25",138,1,0.00660640779634654,-5.01996287090251,84.0249275362319,84.1971428571429,87.2857142857143,0.000852792094692196,0.140616948781101,-8.90007246376811,-8.82843091334895,-11.5488429555714,"F",45
"S001","A2M106.4","A",2,"26",151,0,0.0057319168500399,-5.16309616666637,89.8567549668874,89.8855172413793,84.8965517241379,-2.16988516144496e-05,-0.00251634698275627,-3.06824503311258,-3.1400565291125,-5.71701552491585,"F",45
"S001","A3M104.4","A",3,"27",234,1,0.00471100743170411,-5.35918445258836,82.0375213675214,82.0287234042553,83.2553191489362,-0.00104260826995024,-0.198604632904748,-10.8874786324786,-10.9968503662365,-13.5362491242819,"F",45
"S001","A4M105.4","A",4,"28",184,1,0.00521672777370901,-5.25635072466925,82.1873369565217,82.2583783783784,82.7567567567568,-0.000536887927945338,-0.095770904985633,-10.7376630434783,-10.7671953921134,-13.3864335352815,"F",45
"S001","A5M108.4","A",5,"29",188,0,0.0054030682614368,-5.22197109709294,81.6322872340426,81.5597368421053,82.7368421052632,-0.000350547440217547,-0.0613912774093279,-11.2927127659574,-11.4658369283865,-13.9414832577607,"F",45
"S001","A6M107.3","A",6,"30",159,1,0.00505374385826404,-5.29007181652357,80.5406918238994,80.5028125,81.34375,-0.000699871843390305,-0.129491996839958,-12.3843081761006,-12.5227612704918,-15.0330786679039,"F",45
"S001","A7M111.4","A",7,"31",209,1,0.0054193530266984,-5.21801957584535,80.659043062201,80.6404761904762,84.9047619047619,-0.000334262674955951,-0.0574397561617328,-12.265956937799,-12.3850975800156,-14.9147274296023,"F",45
"S001","A8M112.3","A",8,"32",239,0,0.00549605804013336,-5.20379294474361,80.32589958159,80.3693617021277,83.1914893617021,-0.000257557661520988,-0.043213125059995,-12.59910041841,-12.6562120683641,-15.2478709102133,"F",45
"S001","A9M113.3","A",9,"33",198,1,0.00498585559074962,-5.30217425297175,80.8274242424242,80.85275,83.625,-0.000767760110904728,-0.14159443328814,-12.0975757575758,-12.1728237704918,-14.746346249379,"F",45
"S001","B10M102.1","V",5,"17",386,1,0.00534346580177408,-5.23481776235137,85.1080569948187,85.1421052631579,89,-0.000410149899880264,-0.0742379426677511,-7.81694300518134,-7.8834685073339,-10.4657134969846,"F",45
"S001","B11M111.1","W",6,"6",11,0,0.00576832303329586,-5.15537764893809,81.8327272727273,81.96,89.5,1.47073316415121e-05,0.00520217074552853,-11.0922727272727,-11.0655737704918,-13.741043219076,"F",45
"S001","B12M112.1","V",6,"18",194,1,0.00553252543177844,-5.19801703230603,88.6681443298969,88.6912820512821,89.7435897435897,-0.000221090269875905,-0.0374372126224198,-4.25685567010309,-4.33429171920974,-6.90562616190637,"F",45
"S001","B1M106.1","W",1,"1",96,1,0.00543825005138856,-5.21429974802935,85.0079166666667,85.0789473684211,84.7894736842105,-0.000315365650265787,-0.0537199283457381,-7.91708333333334,-7.94662640207075,-10.5658538251366,"F",45
"S001","B2M103.1","V",1,"13",267,1,0.00456945189641431,-5.39422985608207,83.5461048689139,83.5559259259259,85.6111111111111,-0.00118416380524004,-0.233650036398451,-9.37889513108614,-9.46964784456588,-12.0276656228894,"F",45
"S001","B3M107.1","W",2,"2",166,1,0.00555429052150203,-5.19332473299294,83.8984337349398,84.0533333333333,84.1212121212121,-0.000199325180152321,-0.0327449133093234,-9.02656626506024,-8.97224043715848,-11.6753367568635,"F",45
"S001","B4M109.1","V",2,"14",318,1,0.00425374226778088,-5.46548870828502,82.7033018867925,82.6544444444445,86.3015873015873,-0.00149987343387347,-0.304908888601408,-10.2216981132075,-10.3711293260474,-12.8704686050108,"F",45
"S001","B5M101.1","V",3,"15",273,1,0.00482710765830832,-5.33507452603706,86.0467032967033,86.1588888888889,87.4444444444444,-0.000926508043346028,-0.174494706353448,-6.8782967032967,-6.86668488160292,-9.52706719509997,"F",45
"S001","B6M108.1","V",4,"16",309,0,0.00496453582995508,-5.30635519361163,79.9961812297735,80.0283333333333,85.4666666666667,-0.000789079871699272,-0.145775373928013,-12.9288187702265,-12.9972404371585,-15.5775892620298,"F",45
"S001","B7M114.2","W",3,"3",186,1,0.00559360193041184,-5.18630214276169,82.6102688172043,82.5959459459459,85.1891891891892,-0.000160013771242508,-0.0257223230780754,-10.3147311827957,-10.4296278245459,-12.963501674599,"F",45
"S001","B8M110.1","W",4,"4",187,1,0.00603756859549163,-5.11003663346281,84.8651336898396,84.8472972972973,85.5135135135135,0.000283952893837282,0.0505431862208079,-8.05986631016043,-8.1782764731945,-10.7086368019637,"F",45
"S001","B9M115.2","W",5,"5",307,0,0.00558472019685971,-5.18864827783224,83.6605537459283,83.6935483870968,84.4032258064516,-0.000168895504794641,-0.0280684581486206,-9.26444625407166,-9.33202538339503,-11.9132167458749,"F",45
"S001","C10M115.1","W",12,"12",284,1,0.00549410045399051,-5.20473353554412,87.4028873239437,87.0374074074074,87.1481481481482,-0.000259515247663833,-0.0441537158605092,-5.52211267605634,-5.98816636308439,-8.17088316785961,"F",45
"S001","C11M113.1","V",11,"23",12,0,0.00598419118411009,-5.11863415185945,88.025,88.045,81.5,0.000230575482455746,0.0419456678241668,-4.89999999999999,-4.9805737704918,-7.54877049180327,"F",45
"S001","C12M116.1","V",12,"24",186,0,0.00663901060094341,-5.01572785705138,79.1483870967742,79.1718421052632,85.4736842105263,0.000885394899289067,0.144851962632232,-13.7766129032258,-13.8537316652287,-16.4253833950291,"F",45
"S001","C1M104.2","W",7,"7",257,1,0.00589878030892876,-5.1337892158886,83.2270817120623,83.2298076923077,85.9038461538462,0.000145164607274413,0.026790603795015,-9.69791828793774,-9.79576607818412,-12.346688779741,"F",45
"S001","C2M103.2","V",7,"19",239,1,0.005741497792264,-5.16120110814855,77.4935983263598,79.975,87.6315789473684,-1.21179093903519e-05,-0.000621288464936143,-15.4314016736402,-13.0505737704918,-18.0801721654434,"F",45
"S001","C3M105.1","W",8,"8",185,1,0.00559399113921995,-5.18694838945193,79.8853513513513,79.9172222222222,83.8888888888889,-0.000159624562434394,-0.0263685697683105,-13.0396486486487,-13.1083515482696,-15.6884191404519,"F",45
"S001","C4M101.2","V",8,"20",332,0,0.00671861344105172,-5.00347980294781,83.5098192771084,83.5101515151515,86.2121212121212,0.000964997739397375,0.157100016735803,-9.41518072289156,-9.51542225534028,-12.0639512146948,"F",45
"S001","C5M109.2","W",9,"9",201,1,0.00634102883808825,-5.06106064523629,80.7946268656716,80.8551282051282,84.974358974359,0.000587413136433903,0.0995191744473285,-12.1303731343284,-12.1704455653636,-14.7791436261316,"F",45
"S001","C6M114.1","W",10,"10",198,1,0.00615092075778745,-5.09136991461489,87.8475252525253,87.8755,87.175,0.000397305056133098,0.0692099050687265,-5.07747474747474,-5.1500737704918,-7.72624523927801,"F",45
"S001","C7M107.2","W",11,"11",238,1,0.00611577077133625,-5.09734407965457,83.3763865546218,83.338125,85.0625,0.000362155069681903,0.0632357400290475,-9.54861344537815,-9.6874487704918,-12.1973839371814,"F",45
"S001","C8M117.1","V",9,"21",300,0,0.00662168532356128,-5.01832742132318,80.1941666666667,80.9080357142857,86.8214285714286,0.000868069621906937,0.142252398360431,-12.7308333333333,-12.1175380562061,-15.3796038251366,"F",45
"S001","C9M102.2","V",10,"22",232,1,0.0062580641834235,-5.07434724089259,95.3638793103448,92.96775,88.4,0.000504448481769153,0.0862325787910239,2.43887931034483,-0.0578237704918081,-0.209891181458445,"F",45
"S002","A10M117.2","A",10,"10",76,1,0.00541260418771672,-5.21909149275935,67.4813157894737,67.4306666666667,69.0666666666667,0.00116089091006127,0.243385413092208,-9.64353470886519,-9.69326775956284,-9.2236022433132,"F",33
"S002","A11M116.2","A",11,"11",10,0,0.00539286928041846,-5.22268426782147,69.002,68.8233333333333,71.6666666666667,0.00114115600276301,0.239792638030083,-8.12285049833888,-8.30060109289617,-7.70291803278688,"F",33
"S002","A12M116.3","A",12,"12",10,0,0.00474290463833045,-5.35111266957007,72.725,73.07,79,0.000491191360674999,0.111364236281486,-4.39985049833888,-4.05393442622952,-3.97991803278688,"F",33
